claim_id,claim_date,claim_amount,claim_type,policy_id,description
5060,2024-01-03 11:00,1178,theft,1595,Fire damage in kitchen
5061,2024-01-03 12:00,3504,fire,1220,Car vandalism report
5062,2024-01-03 13:00,12602,fire,1454,Fire damage in kitchen
5063,2024-01-03 14:00,17886,flood,1161,Electrical fire in bedroom
5064,2024-01-03 15:00,3902,fire,1539,Electrical fire in bedroom
5065,2024-01-03 16:00,3709,liability,1107,Stolen bike reported
5066,2024-01-03 17:00,6084,fire,1466,Injury due to slippery floor
5067,2024-01-03 18:00,2354,theft,1618,Car vandalism report
5068,2024-01-03 19:00,750,fire,1402,Minor collision on street
5069,2024-01-03 20:00,314,fire,1577,Water leak from roof
5070,2024-01-03 21:00,6091,theft,1667,Basement flooded after storm
5071,2024-01-03 22:00,10036,collision,1656,Stolen bike reported
5072,2024-01-03 23:00,6656,collision,1025,Water leak from roof
5073,2024-01-04 00:00,6329,theft,1522,Stolen bike reported
5074,2024-01-04 01:00,3315,collision,1355,Electrical fire in bedroom
5075,2024-01-04 02:00,6413,theft,1973,Injury due to slippery floor
5076,2024-01-04 03:00,1407,collision,1548,Stolen bike reported
5077,2024-01-04 04:00,6471,liability,1753,Electrical fire in bedroom
5078,2024-01-04 05:00,4525,collision,1756,Basement flooded after storm
5079,2024-01-04 06:00,8282,theft,1466,Fire damage in kitchen
5080,2024-01-04 07:00,590,theft,1013,Basement flooded after storm
5081,2024-01-04 08:00,9209,theft,1188,Minor collision on street
5082,2024-01-04 09:00,6973,fire,1485,Car vandalism report
5083,2024-01-04 10:00,7126,flood,1172,Electrical fire in bedroom
5084,2024-01-04 11:00,4121,fire,1005,Fire damage in kitchen
5085,2024-01-04 12:00,22220,fire,1467,Car vandalism report
5086,2024-01-04 13:00,1365,theft,1154,Injury due to slippery floor
5087,2024-01-04 14:00,2131,liability,1398,Injury due to slippery floor
5088,2024-01-04 15:00,1549,collision,1927,Minor collision on street
5089,2024-01-04 16:00,296,flood,1078,Minor collision on street
5090,2024-01-04 17:00,14058,fire,1793,Fire damage in kitchen
5091,2024-01-04 18:00,500,theft,1612,Minor collision on street
5092,2024-01-04 19:00,5606,collision,1758,Fire damage in kitchen
5093,2024-01-04 20:00,5979,theft,1656,Minor collision on street
5094,2024-01-04 21:00,2848,liability,1125,Car vandalism report
5095,2024-01-04 22:00,79,fire,1315,Water leak from roof
5096,2024-01-04 23:00,11079,collision,1508,Stolen bike reported
5097,2024-01-05 00:00,2916,liability,1371,Basement flooded after storm
5098,2024-01-05 01:00,4813,fire,1081,Car vandalism report
5099,2024-01-05 02:00,7438,fire,1999,Injury due to slippery floor
5100,2024-01-05 03:00,6748,fire,1436,Minor collision on street
5101,2024-01-05 04:00,7116,collision,1219,Electrical fire in bedroom
5102,2024-01-05 05:00,2515,collision,1934,Basement flooded after storm
5103,2024-01-05 06:00,3190,collision,1921,Water leak from roof
5104,2024-01-05 07:00,1644,fire,1305,Minor collision on street
5105,2024-01-05 08:00,20810,collision,1872,Fire damage in kitchen
5106,2024-01-05 09:00,2042,flood,1948,Water leak from roof
5107,2024-01-05 10:00,956,liability,1425,Basement flooded after storm
5108,2024-01-05 11:00,831,theft,1680,Fire damage in kitchen
5109,2024-01-05 12:00,17300,flood,1475,Electrical fire in bedroom
5110,2024-01-05 13:00,2597,theft,1252,Water leak from roof
5111,2024-01-05 14:00,7935,flood,1706,Car vandalism report
5112,2024-01-05 15:00,14712,theft,1829,Injury due to slippery floor
5113,2024-01-05 16:00,7243,collision,1207,Stolen bike reported
5114,2024-01-05 17:00,2951,liability,1198,Stolen bike reported
5115,2024-01-05 18:00,17110,flood,1516,Injury due to slippery floor
5116,2024-01-05 19:00,8002,liability,1620,Electrical fire in bedroom
5117,2024-01-05 20:00,1634,collision,1686,Water leak from roof
5118,2024-01-05 21:00,10415,liability,1644,Electrical fire in bedroom
5119,2024-01-05 22:00,8578,liability,1683,Water leak from roof
5120,2024-01-05 23:00,3012,flood,1926,Basement flooded after storm
5121,2024-01-06 00:00,1340,flood,1719,Stolen bike reported
5122,2024-01-06 01:00,7481,fire,1576,Electrical fire in bedroom
5123,2024-01-06 02:00,11197,flood,1629,Fire damage in kitchen
5124,2024-01-06 03:00,2759,collision,1439,Fire damage in kitchen
5125,2024-01-06 04:00,3446,collision,1799,Basement flooded after storm
5126,2024-01-06 05:00,2645,liability,1671,Water leak from roof
5127,2024-01-06 06:00,1644,liability,1505,Stolen bike reported
5128,2024-01-06 07:00,6357,liability,1890,Minor collision on street
5129,2024-01-06 08:00,2970,liability,1602,Basement flooded after storm
5130,2024-01-06 09:00,6433,theft,1274,Fire damage in kitchen
5131,2024-01-06 10:00,2699,theft,1390,Water leak from roof
5132,2024-01-06 11:00,2645,flood,1266,Water leak from roof
5133,2024-01-06 12:00,1303,fire,1880,Basement flooded after storm
5134,2024-01-06 13:00,26202,flood,1127,Fire damage in kitchen
5135,2024-01-06 14:00,141,flood,1658,Injury due to slippery floor
5136,2024-01-06 15:00,4765,fire,1319,Car vandalism report
5137,2024-01-06 16:00,4938,fire,1920,Fire damage in kitchen
5138,2024-01-06 17:00,466,collision,1423,Stolen bike reported
5139,2024-01-06 18:00,13368,collision,1120,Basement flooded after storm
5140,2024-01-06 19:00,703,collision,1077,Stolen bike reported
5141,2024-01-06 20:00,5897,collision,1806,Stolen bike reported
5142,2024-01-06 21:00,637,collision,1392,Basement flooded after storm
5143,2024-01-06 22:00,7444,theft,1422,Basement flooded after storm
5144,2024-01-06 23:00,12788,theft,1497,Water leak from roof
5145,2024-01-07 00:00,7130,collision,1506,Basement flooded after storm
5146,2024-01-07 01:00,1856,collision,1044,Car vandalism report
5147,2024-01-07 02:00,14445,fire,1464,Fire damage in kitchen
5148,2024-01-07 03:00,5199,fire,1192,Car vandalism report
5149,2024-01-07 04:00,2674,liability,1985,Minor collision on street
5150,2024-01-07 05:00,11489,collision,1845,Basement flooded after storm
5151,2024-01-07 06:00,1695,liability,1946,Stolen bike reported
5152,2024-01-07 07:00,9096,fire,1104,Minor collision on street
5153,2024-01-07 08:00,279,fire,1566,Car vandalism report
5154,2024-01-07 09:00,12979,liability,1812,Injury due to slippery floor
5155,2024-01-07 10:00,1941,liability,1529,Fire damage in kitchen
5156,2024-01-07 11:00,5218,liability,1652,Basement flooded after storm
5157,2024-01-07 12:00,14491,fire,1062,Injury due to slippery floor
5158,2024-01-07 13:00,29430,flood,1726,Electrical fire in bedroom
5159,2024-01-07 14:00,385,collision,1244,Fire damage in kitchen
5160,2024-01-07 15:00,15826,theft,1950,Injury due to slippery floor
5161,2024-01-07 16:00,4368,flood,1702,Water leak from roof
5162,2024-01-07 17:00,17444,collision,1844,Fire damage in kitchen
5163,2024-01-07 18:00,4750,flood,1854,Basement flooded after storm
5164,2024-01-07 19:00,1840,theft,1011,Water leak from roof
5165,2024-01-07 20:00,6251,theft,1744,Injury due to slippery floor
5166,2024-01-07 21:00,3730,fire,1935,Injury due to slippery floor
5167,2024-01-07 22:00,5981,collision,1501,Minor collision on street
5168,2024-01-07 23:00,4295,flood,1696,Car vandalism report
5169,2024-01-08 00:00,1509,collision,1348,Basement flooded after storm
5170,2024-01-08 01:00,7956,fire,1701,Minor collision on street
5171,2024-01-08 02:00,9646,theft,1899,Basement flooded after storm
5172,2024-01-08 03:00,12554,flood,1118,Fire damage in kitchen
5173,2024-01-08 04:00,2162,flood,1213,Fire damage in kitchen
5174,2024-01-08 05:00,5638,flood,1580,Minor collision on street
5175,2024-01-08 06:00,532,collision,1928,Injury due to slippery floor
5176,2024-01-08 07:00,2306,theft,1775,Electrical fire in bedroom
5177,2024-01-08 08:00,10140,liability,1753,Car vandalism report
5178,2024-01-08 09:00,12353,flood,1916,Fire damage in kitchen
5179,2024-01-08 10:00,13282,liability,1676,Fire damage in kitchen
5180,2024-01-08 11:00,7025,flood,1470,Minor collision on street
5181,2024-01-08 12:00,14858,flood,1620,Basement flooded after storm
5182,2024-01-08 13:00,3137,theft,1059,Electrical fire in bedroom
5183,2024-01-08 14:00,1064,liability,1057,Car vandalism report
5184,2024-01-08 15:00,1220,collision,1488,Water leak from roof
5185,2024-01-08 16:00,1519,flood,1736,Fire damage in kitchen
5186,2024-01-08 17:00,7,flood,1342,Minor collision on street
5187,2024-01-08 18:00,1543,theft,1533,Minor collision on street
5188,2024-01-08 19:00,16040,collision,1280,Car vandalism report
5189,2024-01-08 20:00,8048,collision,1593,Car vandalism report
5190,2024-01-08 21:00,14968,flood,1983,Basement flooded after storm
5191,2024-01-08 22:00,5550,flood,1068,Water leak from roof
5192,2024-01-08 23:00,3635,fire,1535,Fire damage in kitchen
5193,2024-01-09 00:00,2256,liability,1090,Injury due to slippery floor
5194,2024-01-09 01:00,2877,flood,1361,Stolen bike reported
5195,2024-01-09 02:00,6176,theft,1490,Injury due to slippery floor
5196,2024-01-09 03:00,9855,flood,1233,Car vandalism report
5197,2024-01-09 04:00,839,flood,1278,Fire damage in kitchen
5198,2024-01-09 05:00,7868,fire,1941,Electrical fire in bedroom
5199,2024-01-09 06:00,32,collision,1569,Basement flooded after storm
5200,2024-01-09 07:00,6310,liability,1328,Minor collision on street
5201,2024-01-09 08:00,3620,liability,1230,Water leak from roof
5202,2024-01-09 09:00,1343,theft,1142,Water leak from roof
5203,2024-01-09 10:00,5983,theft,1660,Injury due to slippery floor
5204,2024-01-09 11:00,107,flood,1410,Minor collision on street
5205,2024-01-09 12:00,10941,collision,1388,Water leak from roof
5206,2024-01-09 13:00,4473,liability,1680,Electrical fire in bedroom
5207,2024-01-09 14:00,2781,fire,1137,Fire damage in kitchen
5208,2024-01-09 15:00,3328,liability,1494,Stolen bike reported
5209,2024-01-09 16:00,1848,flood,1099,Fire damage in kitchen
5210,2024-01-09 17:00,3547,theft,1026,Water leak from roof
5211,2024-01-09 18:00,24326,theft,1205,Car vandalism report
5212,2024-01-09 19:00,8367,theft,1279,Stolen bike reported
5213,2024-01-09 20:00,4415,liability,1092,Basement flooded after storm
5214,2024-01-09 21:00,3723,theft,1197,Water leak from roof
5215,2024-01-09 22:00,419,liability,1870,Water leak from roof
5216,2024-01-09 23:00,5850,liability,1843,Basement flooded after storm
5217,2024-01-10 00:00,7629,fire,1859,Water leak from roof
5218,2024-01-10 01:00,3595,flood,1738,Electrical fire in bedroom
5219,2024-01-10 02:00,6926,fire,1354,Minor collision on street
5220,2024-01-10 03:00,7913,collision,1816,Stolen bike reported
5221,2024-01-10 04:00,973,flood,1946,Car vandalism report
5222,2024-01-10 05:00,5634,collision,1965,Basement flooded after storm
5223,2024-01-10 06:00,11911,fire,1619,Electrical fire in bedroom
5224,2024-01-10 07:00,70,theft,1075,Electrical fire in bedroom
5225,2024-01-10 08:00,9654,liability,1320,Water leak from roof
5226,2024-01-10 09:00,18408,theft,1806,Stolen bike reported
5227,2024-01-10 10:00,666,theft,1558,Car vandalism report
5228,2024-01-10 11:00,3561,collision,1972,Fire damage in kitchen
5229,2024-01-10 12:00,3455,fire,1278,Car vandalism report
5230,2024-01-10 13:00,5816,liability,1137,Electrical fire in bedroom
5231,2024-01-10 14:00,2764,flood,1608,Water leak from roof
5232,2024-01-10 15:00,3018,fire,1394,Water leak from roof
5233,2024-01-10 16:00,2213,fire,1711,Electrical fire in bedroom
5234,2024-01-10 17:00,5380,collision,1987,Fire damage in kitchen
5235,2024-01-10 18:00,1225,flood,1318,Water leak from roof
5236,2024-01-10 19:00,20548,fire,1295,Electrical fire in bedroom
5237,2024-01-10 20:00,12696,liability,1472,Car vandalism report
5238,2024-01-10 21:00,763,flood,1327,Basement flooded after storm
5239,2024-01-10 22:00,7028,collision,1917,Water leak from roof
5240,2024-01-10 23:00,14060,collision,1299,Car vandalism report
5241,2024-01-11 00:00,5560,fire,1472,Minor collision on street
5242,2024-01-11 01:00,4056,flood,1910,Injury due to slippery floor
5243,2024-01-11 02:00,9454,collision,1517,Basement flooded after storm
5244,2024-01-11 03:00,1168,collision,1806,Car vandalism report
5245,2024-01-11 04:00,2511,liability,1679,Basement flooded after storm
5246,2024-01-11 05:00,1770,fire,1627,Stolen bike reported
5247,2024-01-11 06:00,1589,flood,1447,Stolen bike reported
5248,2024-01-11 07:00,8590,collision,1330,Injury due to slippery floor
5249,2024-01-11 08:00,17235,collision,1332,Car vandalism report
5250,2024-01-11 09:00,3898,collision,1679,Injury due to slippery floor
5251,2024-01-11 10:00,187,collision,1848,Minor collision on street
5252,2024-01-11 11:00,5380,collision,1853,Fire damage in kitchen
5253,2024-01-11 12:00,2463,collision,1471,Fire damage in kitchen
5254,2024-01-11 13:00,4208,theft,1444,Injury due to slippery floor
5255,2024-01-11 14:00,144,flood,1414,Stolen bike reported
5256,2024-01-11 15:00,2240,theft,1644,Water leak from roof
5257,2024-01-11 16:00,11692,theft,1443,Fire damage in kitchen
5258,2024-01-11 17:00,3124,flood,1354,Fire damage in kitchen
5259,2024-01-11 18:00,5146,liability,1640,Stolen bike reported
5260,2024-01-11 19:00,7049,fire,1292,Car vandalism report
5261,2024-01-11 20:00,11964,liability,1323,Fire damage in kitchen
5262,2024-01-11 21:00,10757,liability,1903,Stolen bike reported
5263,2024-01-11 22:00,8766,flood,1335,Injury due to slippery floor
5264,2024-01-11 23:00,2026,liability,1569,Fire damage in kitchen
5265,2024-01-12 00:00,2190,fire,1626,Basement flooded after storm
5266,2024-01-12 01:00,10488,theft,1686,Car vandalism report
5267,2024-01-12 02:00,5074,flood,1872,Electrical fire in bedroom
5268,2024-01-12 03:00,1711,theft,1053,Stolen bike reported
5269,2024-01-12 04:00,75,fire,1055,Injury due to slippery floor
5270,2024-01-12 05:00,2428,fire,1594,Car vandalism report
5271,2024-01-12 06:00,2994,liability,1270,Car vandalism report
5272,2024-01-12 07:00,9695,collision,1304,Stolen bike reported
5273,2024-01-12 08:00,13554,theft,1244,Fire damage in kitchen
5274,2024-01-12 09:00,8444,flood,1943,Basement flooded after storm
5275,2024-01-12 10:00,6634,collision,1848,Injury due to slippery floor
5276,2024-01-12 11:00,10467,liability,1325,Fire damage in kitchen
5277,2024-01-12 12:00,388,fire,1979,Stolen bike reported
5278,2024-01-12 13:00,9101,collision,1094,Basement flooded after storm
5279,2024-01-12 14:00,416,flood,1446,Fire damage in kitchen
5280,2024-01-12 15:00,851,collision,1302,Minor collision on street
5281,2024-01-12 16:00,7791,fire,1908,Basement flooded after storm
5282,2024-01-12 17:00,1734,liability,1802,Stolen bike reported
5283,2024-01-12 18:00,4757,theft,1190,Minor collision on street
5284,2024-01-12 19:00,81,theft,1174,Water leak from roof
5285,2024-01-12 20:00,447,theft,1053,Basement flooded after storm
5286,2024-01-12 21:00,886,theft,1218,Injury due to slippery floor
5287,2024-01-12 22:00,2505,fire,1403,Electrical fire in bedroom
5288,2024-01-12 23:00,5157,theft,1688,Basement flooded after storm
5289,2024-01-13 00:00,1396,liability,1568,Minor collision on street
5290,2024-01-13 01:00,15421,theft,1839,Electrical fire in bedroom
5291,2024-01-13 02:00,1788,theft,1447,Electrical fire in bedroom
5292,2024-01-13 03:00,7111,liability,1901,Fire damage in kitchen
5293,2024-01-13 04:00,8558,fire,1208,Car vandalism report
5294,2024-01-13 05:00,36317,liability,1672,Stolen bike reported
5295,2024-01-13 06:00,9293,theft,1415,Fire damage in kitchen
5296,2024-01-13 07:00,2696,liability,1414,Stolen bike reported
5297,2024-01-13 08:00,2438,flood,1343,Basement flooded after storm
5298,2024-01-13 09:00,8157,collision,1693,Electrical fire in bedroom
5299,2024-01-13 10:00,2333,flood,1461,Water leak from roof
5300,2024-01-13 11:00,2867,theft,1763,Basement flooded after storm
5301,2024-01-13 12:00,7092,collision,1297,Car vandalism report
5302,2024-01-13 13:00,3033,liability,1874,Car vandalism report
5303,2024-01-13 14:00,762,fire,1460,Electrical fire in bedroom
5304,2024-01-13 15:00,5078,liability,1416,Minor collision on street
5305,2024-01-13 16:00,1210,liability,1478,Injury due to slippery floor
5306,2024-01-13 17:00,3794,liability,1248,Injury due to slippery floor
5307,2024-01-13 18:00,16696,fire,1154,Injury due to slippery floor
5308,2024-01-13 19:00,3521,flood,1331,Injury due to slippery floor
5309,2024-01-13 20:00,6004,fire,1497,Injury due to slippery floor
5310,2024-01-13 21:00,2019,liability,1919,Minor collision on street
5311,2024-01-13 22:00,5628,fire,1134,Minor collision on street
5312,2024-01-13 23:00,6937,collision,1547,Injury due to slippery floor
5313,2024-01-14 00:00,10304,liability,1487,Minor collision on street
5314,2024-01-14 01:00,2248,liability,1266,Injury due to slippery floor
5315,2024-01-14 02:00,1978,theft,1930,Electrical fire in bedroom
5316,2024-01-14 03:00,2117,fire,1626,Electrical fire in bedroom
5317,2024-01-14 04:00,3561,collision,1047,Car vandalism report
5318,2024-01-14 05:00,5341,collision,1616,Fire damage in kitchen
5319,2024-01-14 06:00,12972,collision,1753,Injury due to slippery floor
5320,2024-01-14 07:00,38642,theft,1517,Basement flooded after storm
5321,2024-01-14 08:00,2809,theft,1080,Basement flooded after storm
5322,2024-01-14 09:00,636,theft,1989,Basement flooded after storm
5323,2024-01-14 10:00,10344,collision,1238,Injury due to slippery floor
5324,2024-01-14 11:00,4429,fire,1989,Basement flooded after storm
5325,2024-01-14 12:00,7907,flood,1896,Stolen bike reported
5326,2024-01-14 13:00,6058,flood,1221,Minor collision on street
5327,2024-01-14 14:00,6301,liability,1534,Water leak from roof
5328,2024-01-14 15:00,13461,flood,1219,Fire damage in kitchen
5329,2024-01-14 16:00,4559,theft,1102,Car vandalism report
5330,2024-01-14 17:00,1303,collision,1383,Stolen bike reported
5331,2024-01-14 18:00,787,theft,1362,Water leak from roof
5332,2024-01-14 19:00,22044,fire,1184,Injury due to slippery floor
5333,2024-01-14 20:00,1567,liability,1546,Electrical fire in bedroom
5334,2024-01-14 21:00,1539,fire,1063,Electrical fire in bedroom
5335,2024-01-14 22:00,6522,collision,1448,Minor collision on street
5336,2024-01-14 23:00,3898,liability,1075,Car vandalism report
5337,2024-01-15 00:00,7498,fire,1947,Basement flooded after storm
5338,2024-01-15 01:00,7379,theft,1850,Water leak from roof
5339,2024-01-15 02:00,4157,theft,1515,Fire damage in kitchen
5340,2024-01-15 03:00,812,collision,1505,Car vandalism report
5341,2024-01-15 04:00,13062,theft,1599,Stolen bike reported
5342,2024-01-15 05:00,1411,theft,1519,Basement flooded after storm
5343,2024-01-15 06:00,3379,flood,1933,Car vandalism report
5344,2024-01-15 07:00,14600,fire,1185,Car vandalism report
5345,2024-01-15 08:00,16781,liability,1093,Basement flooded after storm
5346,2024-01-15 09:00,5184,flood,1481,Basement flooded after storm
5347,2024-01-15 10:00,11960,liability,1497,Water leak from roof
5348,2024-01-15 11:00,6903,flood,1915,Car vandalism report
5349,2024-01-15 12:00,3918,fire,1926,Car vandalism report
5350,2024-01-15 13:00,3513,collision,1490,Basement flooded after storm
5351,2024-01-15 14:00,766,fire,1648,Injury due to slippery floor
5352,2024-01-15 15:00,3497,theft,1239,Car vandalism report
5353,2024-01-15 16:00,3416,collision,1575,Water leak from roof
5354,2024-01-15 17:00,3832,fire,1877,Fire damage in kitchen
5355,2024-01-15 18:00,2173,fire,1478,Stolen bike reported
5356,2024-01-15 19:00,13211,flood,1067,Water leak from roof
5357,2024-01-15 20:00,57,fire,1148,Minor collision on street
5358,2024-01-15 21:00,599,fire,1040,Stolen bike reported
5359,2024-01-15 22:00,6647,theft,1705,Car vandalism report
5360,2024-01-15 23:00,3146,theft,1137,Electrical fire in bedroom
5361,2024-01-16 00:00,11201,collision,1320,Fire damage in kitchen
5362,2024-01-16 01:00,2241,theft,1696,Basement flooded after storm
5363,2024-01-16 02:00,11630,collision,1515,Injury due to slippery floor
5364,2024-01-16 03:00,205,flood,1520,Car vandalism report
5365,2024-01-16 04:00,29140,collision,1111,Fire damage in kitchen
5366,2024-01-16 05:00,20301,theft,1080,Stolen bike reported
5367,2024-01-16 06:00,21286,fire,1473,Stolen bike reported
5368,2024-01-16 07:00,270,theft,1793,Electrical fire in bedroom
5369,2024-01-16 08:00,15175,flood,1994,Electrical fire in bedroom
5370,2024-01-16 09:00,6408,fire,1705,Fire damage in kitchen
5371,2024-01-16 10:00,3993,theft,1535,Injury due to slippery floor
5372,2024-01-16 11:00,2379,theft,1563,Car vandalism report
5373,2024-01-16 12:00,14810,liability,1170,Water leak from roof
5374,2024-01-16 13:00,549,liability,1456,Injury due to slippery floor
5375,2024-01-16 14:00,11570,fire,1030,Injury due to slippery floor
5376,2024-01-16 15:00,1883,theft,1074,Minor collision on street
5377,2024-01-16 16:00,4395,theft,1989,Injury due to slippery floor
5378,2024-01-16 17:00,4598,collision,1031,Electrical fire in bedroom
5379,2024-01-16 18:00,12259,flood,1958,Injury due to slippery floor
5380,2024-01-16 19:00,185,collision,1687,Basement flooded after storm
5381,2024-01-16 20:00,13547,liability,1142,Car vandalism report
5382,2024-01-16 21:00,630,theft,1492,Electrical fire in bedroom
5383,2024-01-16 22:00,12006,theft,1429,Minor collision on street
5384,2024-01-16 23:00,14592,theft,1126,Injury due to slippery floor
5385,2024-01-17 00:00,8832,liability,1237,Electrical fire in bedroom
5386,2024-01-17 01:00,214,collision,1029,Minor collision on street
5387,2024-01-17 02:00,2641,fire,1719,Stolen bike reported
5388,2024-01-17 03:00,5894,theft,1512,Electrical fire in bedroom
5389,2024-01-17 04:00,878,liability,1002,Water leak from roof
5390,2024-01-17 05:00,10425,theft,1156,Water leak from roof
5391,2024-01-17 06:00,6,flood,1980,Fire damage in kitchen
5392,2024-01-17 07:00,7132,liability,1789,Fire damage in kitchen
5393,2024-01-17 08:00,4993,flood,1535,Injury due to slippery floor
5394,2024-01-17 09:00,1438,collision,1108,Fire damage in kitchen
5395,2024-01-17 10:00,5765,theft,1581,Stolen bike reported
5396,2024-01-17 11:00,11746,liability,1688,Minor collision on street
5397,2024-01-17 12:00,7468,collision,1846,Injury due to slippery floor
5398,2024-01-17 13:00,6207,liability,1195,Injury due to slippery floor
5399,2024-01-17 14:00,6876,fire,1880,Stolen bike reported
5400,2024-01-17 15:00,3750,collision,1179,Water leak from roof
5401,2024-01-17 16:00,3035,theft,1560,Minor collision on street
5402,2024-01-17 17:00,647,fire,1372,Basement flooded after storm
5403,2024-01-17 18:00,164,fire,1018,Basement flooded after storm
5404,2024-01-17 19:00,3531,flood,1985,Electrical fire in bedroom
5405,2024-01-17 20:00,5868,collision,1630,Water leak from roof
5406,2024-01-17 21:00,2350,collision,1376,Basement flooded after storm
5407,2024-01-17 22:00,4816,liability,1441,Injury due to slippery floor
5408,2024-01-17 23:00,7060,liability,1151,Fire damage in kitchen
5409,2024-01-18 00:00,244,fire,1301,Injury due to slippery floor
5410,2024-01-18 01:00,6180,flood,1641,Injury due to slippery floor
5411,2024-01-18 02:00,11090,flood,1309,Injury due to slippery floor
5412,2024-01-18 03:00,8784,collision,1372,Car vandalism report
5413,2024-01-18 04:00,413,liability,1966,Injury due to slippery floor
5414,2024-01-18 05:00,2765,liability,1069,Water leak from roof
5415,2024-01-18 06:00,4144,liability,1077,Car vandalism report
5416,2024-01-18 07:00,3084,theft,1505,Electrical fire in bedroom
5417,2024-01-18 08:00,1220,liability,1834,Car vandalism report
5418,2024-01-18 09:00,13604,fire,1503,Minor collision on street
5419,2024-01-18 10:00,16596,theft,1281,Car vandalism report
5420,2024-01-18 11:00,598,flood,1601,Stolen bike reported
5421,2024-01-18 12:00,1576,collision,1936,Minor collision on street
5422,2024-01-18 13:00,2,theft,1064,Injury due to slippery floor
5423,2024-01-18 14:00,4319,flood,1697,Minor collision on street
5424,2024-01-18 15:00,9784,fire,1923,Car vandalism report
5425,2024-01-18 16:00,2970,flood,1338,Minor collision on street
5426,2024-01-18 17:00,2091,liability,1437,Minor collision on street
5427,2024-01-18 18:00,3355,liability,1244,Minor collision on street
5428,2024-01-18 19:00,3529,collision,1590,Water leak from roof
5429,2024-01-18 20:00,18338,liability,1780,Minor collision on street
